in s,C1 in V,C2 in V,C3 in V
-1.0937236E-02,1.883861129478E-02,-8.37297812058E-01,3.671813652651E-02
-1.0937052E-02,1.883642101268E-02,-8.36900004605E-01,3.671954689814E-02
-1.0936868E-02,1.883864030548E-02,-8.36983974976E-01,3.671889174530E-02
-1.0936684E-02,1.883671111384E-02,-8.37239811616E-01,3.671699802658E-02
-1.0936500E-02,1.883346266303E-02,-8.37253313465E-01,3.671850240124E-02
-1.0936316E-02,1.883386226444E-02,-8.37208807887E-01,3.671882256201E-02
-1.0936132E-02,1.883433961150E-02,-8.37127543008E-01,3.671926367829E-02
-1.0935948E-02,1.883971822870E-02,-8.37179610925E-01,3.671737517962E-02
-1.0935764E-02,1.884213634374E-02,-8.37044995232E-01,3.671754732529E-02
-1.0935580E-02,1.883820612755E-02,-8.37091607926E-01,3.671841500593E-02
-1.0935396E-02,1.884234106940E-02,-8.36952764029E-01,3.671751151128E-02
-1.0935212E-02,1.884269120710E-02,-8.37468823837E-01,3.671659486169E-02
-1.0935028E-02,1.883715286342E-02,-8.37097193534E-01,3.671787142554E-02
-1.0934844E-02,1.883575077940E-02,-8.36991260247E-01,3.671961560180E-02
-1.0934660E-02,1.883522752746E-02,-8.37670629797E-01,3.672107235795E-02
-1.0934476E-02,1.883790452223E-02,-8.37093121326E-01,3.672055323409E-02
-1.0934292E-02,1.883500245706E-02,-8.37432399811E-01,3.672041742397E-02
-1.0934108E-02,1.883980559258E-02,-8.37749636220E-01,3.671930203481E-02
-1.0933924E-02,1.883898936751E-02,-8.37496528355E-01,3.672055500826E-02
-1.0933740E-02,1.883797932140E-02,-8.37567413645E-01,3.671979389420E-02
-1.0933556E-02,1.883900945148E-02,-8.37541862810E-01,3.671796194544E-02
-1.0933372E-02,1.884045827159E-02,-8.37391917547E-01,3.672053288003E-02
-1.0933188E-02,1.883774813105E-02,-8.37081491435E-01,3.671883464126E-02
-1.0933004E-02,1.884252599979E-02,-8.37937206915E-01,3.671907625893E-02
-1.0932820E-02,1.884018783880E-02,-8.37327814614E-01,3.672081310103E-02
-1.0932636E-02,1.883757446733E-02,-8.37389910547E-01,3.671853478799E-02
-1.0932452E-02,1.883878946843E-02,-8.37045537727E-01,3.671976815710E-02
-1.0932268E-02,1.884240272528E-02,-8.37426374154E-01,3.672031512750E-02
-1.0932084E-02,1.884004472944E-02,-8.37333227927E-01,3.671818713924E-02
-1.0931900E-02,1.884087592553E-02,-8.37744658301E-01,3.671950136112E-02
-1.0931716E-02,1.884068787637E-02,-8.37772998447E-01,3.672026877092E-02
-1.0931532E-02,1.884055768795E-02,-8.37908533821E-01,3.671872731099E-02
-1.0931348E-02,1.884249727780E-02,-8.37907043705E-01,3.671951168483E-02
-1.0931164E-02,1.883634081067E-02,-8.37745168200E-01,3.672117204672E-02
-1.0930980E-02,1.883670919531E-02,-8.37698508939E-01,3.672085484291E-02
-1.0930796E-02,1.883790862470E-02,-8.37658180343E-01,3.671942359103E-02
-1.0930612E-02,1.883643963564E-02,-8.37704278482E-01,3.671881047344E-02
-1.0930428E-02,1.883356524006E-02,-8.37268608110E-01,3.671920042286E-02
-1.0930244E-02,1.883265108642E-02,-8.37736220518E-01,3.671892863499E-02
-1.0930060E-02,1.883338365078E-02,-8.37342615658E-01,3.671822880661E-02
-1.0929876E-02,1.883279607006E-02,-8.37641374627E-01,3.671888428075E-02
-1.0929692E-02,1.883327227159E-02,-8.37770474562E-01,3.671948413165E-02
-1.0929508E-02,1.883328229146E-02,-8.37740513915E-01,3.671931573456E-02
