XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
580.090047,7.208906
580.572250,6.983562
581.054453,5.663435
581.536656,5.550608
582.018859,5.783920
582.501062,6.186165
582.983265,5.771683
583.465467,5.732487
583.947670,6.138285
584.429873,6.698050
584.912076,6.165019
585.394279,6.451156
585.876482,7.206786
586.358685,5.862252
586.840887,5.044672
587.323090,5.387994
587.805293,6.016485
588.287496,5.331058
588.769699,5.145126
589.251902,6.214356
589.734105,6.659552
590.216307,7.048910
590.698510,6.743841
591.180713,6.259799
591.662916,5.475586
592.145119,5.311284
592.627322,5.731166
593.109525,5.538803
593.591728,4.995941
594.073930,4.655186
594.556133,5.535349
595.038336,5.369269
595.520539,5.276867
596.002742,5.882880
596.484945,6.107937
596.967148,6.642298
597.449350,6.163058
597.931553,5.751513
598.413756,5.428736
598.895959,5.449087
599.378162,6.816712
599.860365,7.703746
600.342568,7.244202
600.824771,6.460408
601.306973,5.618022
601.789176,5.432771
602.271379,6.557031
602.753582,6.592471
603.235785,5.911428
603.717988,5.821077
604.200191,5.533976
604.682393,4.682816
605.164596,4.629629
605.646799,6.047046
606.129002,6.241013
606.611205,6.071176
607.093408,6.116006
607.575611,6.653066
608.057814,7.590699
608.540016,6.671994
609.022219,5.829944
609.504422,5.647100
609.986625,6.561672
610.468828,7.643628
610.951031,6.886197
611.433234,6.325240
611.915436,6.105366
612.397639,6.019824
612.879842,5.972023
613.362045,5.928660
613.844248,6.159784
614.326451,5.723462
614.808654,5.634583
615.290857,5.815887
615.773059,5.396539
616.255262,6.426869
616.737465,7.621853
617.219668,6.953285
617.701871,6.364738
618.184074,5.880854
618.666277,5.214366
619.148479,5.143410
619.630682,6.308983
620.112885,6.825987
620.595088,5.870485
621.077291,6.035454
621.559494,5.894043
622.041697,5.718143
622.523899,6.063899
623.006102,6.316156
623.488305,6.963826
623.970508,6.627188
624.452711,6.806683
624.934914,7.343894
625.417117,6.972377
625.899320,6.266242
626.381522,5.569504
626.863725,5.277852
627.345928,5.106342
627.828131,5.862032
628.310334,6.523801
628.792537,6.398631
629.274740,5.890444
629.756942,5.819959
630.239145,6.356956
630.721348,5.805408
631.203551,5.574681
631.685754,5.599086
632.167957,5.249384
632.650160,5.803335
633.132363,6.731669
633.614565,6.768746
634.096768,6.360044
634.578971,6.933846
635.061174,7.516378
635.543377,7.538040
636.025580,7.095625
636.507783,6.609589
636.989985,6.199864
637.472188,5.723245
637.954391,5.998043
638.436594,6.685007
638.918797,7.271849
639.401000,7.006605
639.883203,6.597727
640.365406,6.950127
640.847608,6.585253
641.329811,6.303680
641.812014,6.464611
642.294217,6.543979
642.776420,6.674064
643.258623,6.448830
643.740826,6.354042
644.223028,6.106010
644.705231,5.496517
645.187434,5.744527
645.669637,6.461041
646.151840,6.475578
646.634043,5.875668
647.116246,5.417594
647.598449,5.951943
648.080651,6.803677
