XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
580.090047,28.463105
580.572250,28.119261
581.054453,28.620181
581.536656,29.265984
582.018859,28.688272
582.501062,28.381629
582.983265,29.330733
583.465467,28.827772
583.947670,28.293240
584.429873,28.471173
584.912076,27.973086
585.394279,28.926890
585.876482,30.639576
586.358685,30.828871
586.840887,30.019741
587.323090,29.649326
587.805293,29.008368
588.287496,27.764164
588.769699,28.167875
589.251902,29.444684
589.734105,29.844091
590.216307,29.464077
590.698510,27.889545
591.180713,26.589158
591.662916,27.485902
592.145119,29.385142
592.627322,29.201739
593.109525,28.178674
593.591728,28.119882
594.073930,27.968238
594.556133,28.346313
595.038336,29.295805
595.520539,29.454033
596.002742,29.278569
596.484945,28.319222
596.967148,28.374293
597.449350,29.733444
597.931553,29.386179
598.413756,28.170602
598.895959,27.785526
599.378162,28.378566
599.860365,29.131229
600.342568,28.941925
600.824771,28.524562
601.306973,28.733691
601.789176,28.746639
602.271379,28.252698
602.753582,28.339815
603.235785,29.100346
603.717988,29.357964
604.200191,28.267063
604.682393,27.507942
605.164596,28.058871
605.646799,28.671357
606.129002,28.813447
606.611205,28.351716
607.093408,27.748411
607.575611,27.147651
608.057814,27.050400
608.540016,27.419085
609.022219,28.017834
609.504422,28.786962
609.986625,28.394445
610.468828,28.418670
610.951031,29.099482
611.433234,28.689039
611.915436,28.173459
612.397639,27.752086
612.879842,27.652927
613.362045,27.849830
613.844248,27.828495
614.326451,28.291538
614.808654,28.694925
615.290857,27.999975
615.773059,27.770603
616.255262,28.839924
616.737465,29.099716
617.219668,28.588682
617.701871,28.363264
618.184074,28.716043
618.666277,28.999848
619.148479,28.434322
619.630682,27.956999
620.112885,28.132594
620.595088,28.476988
621.077291,28.624773
621.559494,28.601701
622.041697,28.574722
622.523899,28.649798
623.006102,28.892687
623.488305,28.958364
623.970508,28.536403
624.452711,27.840258
624.934914,27.789897
625.417117,28.564268
625.899320,29.532394
626.381522,29.534637
626.863725,28.326454
627.345928,27.778198
627.828131,27.947478
628.310334,28.297622
628.792537,28.904626
629.274740,29.199520
629.756942,29.117144
630.239145,28.806969
630.721348,28.810237
631.203551,28.532532
631.685754,27.813356
632.167957,27.962939
632.650160,28.647589
633.132363,28.964017
633.614565,28.900043
634.096768,28.722956
634.578971,28.491400
635.061174,28.295637
635.543377,28.621306
636.025580,29.468971
636.507783,29.978408
636.989985,29.750611
637.472188,29.651532
637.954391,29.431549
638.436594,28.580137
638.918797,28.135592
639.401000,28.181103
639.883203,28.541651
640.365406,29.013582
640.847608,29.530097
641.329811,29.670797
641.812014,29.072018
642.294217,29.388372
642.776420,30.197179
643.258623,30.192132
643.740826,29.581044
644.223028,28.364262
644.705231,28.210542
645.187434,29.090295
645.669637,29.350617
646.151840,29.490442
646.634043,29.402365
647.116246,28.457885
647.598449,28.079272
648.080651,29.026405
