XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
70.401618,-0.001354
70.883821,-0.006049
71.366024,-0.001504
71.848227,-0.004659
72.330430,0.002524
72.812633,0.000403
73.294836,-0.001606
73.777038,0.001437
74.259241,-0.003224
74.741444,-0.000641
75.223647,-0.004379
75.705850,0.000220
76.188053,-0.003336
76.670256,-0.002520
77.152458,-0.003421
77.634661,-0.007365
78.116864,-0.001906
78.599067,-0.003199
79.081270,0.002372
79.563473,-0.004016
80.045676,-0.002248
80.527879,-0.002323
81.010081,-0.005637
81.492284,-0.000454
81.974487,-0.002050
82.456690,0.002416
82.938893,-0.002089
83.421096,0.000434
83.903299,-0.001250
84.385501,-0.001761
84.867704,0.001383
85.349907,-0.001947
85.832110,0.000515
86.314313,-0.005331
86.796516,-0.000443
87.278719,-0.001331
87.760922,-0.001680
88.243124,0.000789
88.725327,-0.000098
89.207530,0.003660
89.689733,-0.000864
90.171936,0.000819
90.654139,-0.002167
91.136342,0.003502
91.618544,0.004603
92.100747,0.000263
92.582950,0.000231
93.065153,-0.005781
93.547356,-0.000211
94.029559,-0.001749
94.511762,0.000454
94.993965,-0.001441
95.476167,-0.001135
95.958370,0.001683
96.440573,-0.004227
96.922776,-0.000452
97.404979,-0.003541
97.887182,0.000063
98.369385,-0.001838
98.851587,-0.002051
99.333790,-0.000284
99.815993,-0.005365
100.298196,-0.002545
100.780399,-0.004272
101.262602,0.002726
101.744805,0.000190
102.227008,-0.003949
102.709210,-0.005059
103.191413,-0.004168
103.673616,0.001369
104.155819,-0.004588
104.638022,-0.001068
105.120225,-0.000914
105.602428,0.000351
106.084630,0.000083
106.566833,-0.000376
107.049036,0.002463
107.531239,-0.000869
108.013442,0.001122
108.495645,-0.004398
108.977848,-0.004129
109.460050,-0.004334
109.942253,-0.002144
110.424456,-0.001390
110.906659,-0.007000
111.388862,-0.003818
111.871065,-0.005597
112.353268,0.001224
112.835471,0.002852
113.317673,0.000767
113.799876,-0.000931
114.282079,-0.001934
114.764282,0.003098
115.246485,0.000667
115.728688,0.001857
116.210891,-0.000611
116.693093,0.001224
117.175296,0.000520
117.657499,0.001740
118.139702,0.004708
118.621905,-0.001924
119.104108,-0.000447
119.586311,-0.002999
120.068514,-0.000894
120.550716,-0.001005
121.032919,-0.001083
121.515122,0.000079
121.997325,-0.002106
122.479528,0.001499
122.961731,-0.001683
123.443934,0.000923
123.926136,0.000523
124.408339,0.001995
124.890542,0.002975
125.372745,-0.000237
125.854948,0.001872
126.337151,-0.000467
126.819354,-0.000550
127.301557,-0.005530
127.783759,-0.002223
128.265962,0.001903
128.748165,0.003040
129.230368,0.004867
129.712571,-0.000565
130.194774,0.000378
130.676977,-0.003230
131.159179,-0.001724
131.641382,-0.000302
132.123585,0.000212
132.605788,0.000934
133.087991,-0.003352
133.570194,-0.000321
134.052397,-0.001308
134.534600,0.001215
135.016802,0.000400
135.499005,0.000091
135.981208,0.001203
136.463411,0.000047
136.945614,0.003956
137.427817,0.002543
137.910020,0.003102
138.392222,-0.000835
138.874425,0.000307
139.356628,0.000097
139.838831,-0.002836
140.321034,-0.000144
140.803237,-0.003989
141.285440,-0.002274
141.767642,-0.003206
142.249845,-0.000013
142.732048,0.000536
143.214251,-0.002861
143.696454,-0.000442
144.178657,-0.001234
144.660860,0.001390
145.143063,0.000555
145.625265,0.000098
146.107468,-0.004413
146.589671,-0.002638
147.071874,0.002594
147.554077,-0.000598
148.036280,-0.001698
148.518483,-0.006133
149.000685,-0.004035
149.482888,-0.003499
149.965091,-0.000594
150.447294,0.003566
150.929497,0.001860
151.411700,0.002704
151.893903,0.000274
152.376106,-0.000134
152.858308,-0.002123
153.340511,-0.001650
153.822714,-0.001474
154.304917,0.002628
154.787120,0.006414
155.269323,0.001296
155.751526,-0.000308
156.233728,-0.003618
156.715931,-0.001931
157.198134,-0.001470
157.680337,-0.000477
158.162540,0.001224
158.644743,0.001107
159.126946,0.003329
159.609149,0.000612
160.091351,0.001384
160.573554,-0.002198
161.055757,-0.001852
161.537960,-0.000632
162.020163,-0.002128
162.502366,0.000287
162.984569,-0.000695
163.466771,0.000466
163.948974,-0.002824
164.431177,-0.001737
164.913380,-0.001879
165.395583,-0.001099
165.877786,0.002721
166.359989,0.000818
166.842191,0.003393
167.324394,0.000421
167.806597,-0.002282
168.288800,-0.003226
168.771003,-0.001582
169.253206,-0.002122
169.735409,-0.002968
170.217612,0.001541
170.699814,0.000208
171.182017,0.001969
171.664220,-0.002003
172.146423,-0.004317
172.628626,-0.003277
