in s,C1 in V,C4 in V
-8.2099216E-03,2.090202418672E+01,-3.78988294289E+00
-8.2097384E-03,2.089583489629E+01,-3.88718874785E+00
-8.2095552E-03,2.092376723005E+01,-3.83823139020E+00
-8.2093720E-03,2.089208065582E+01,-3.88889553617E+00
-8.2091888E-03,2.090919742877E+01,-3.82347932211E+00
-8.2090056E-03,2.090279051619E+01,-3.87918633535E+00
-8.2088224E-03,2.089590488052E+01,-3.82661874066E+00
-8.2086392E-03,2.089772163009E+01,-3.86206360892E+00
-8.2084560E-03,2.090131206023E+01,-3.87157043335E+00
-8.2082728E-03,2.089783224327E+01,-3.85689479192E+00
-8.2080896E-03,2.091370163536E+01,-3.85193126169E+00
-8.2079064E-03,2.090105385570E+01,-3.84115455565E+00
-8.2077232E-03,2.087661129473E+01,-3.84772015861E+00
-8.2075400E-03,2.089424556637E+01,-3.83846632796E+00
-8.2073568E-03,2.091895324694E+01,-3.83483779044E+00
-8.2071736E-03,2.092039356990E+01,-3.84228534424E+00
-8.2069904E-03,2.090678234635E+01,-3.82783019342E+00
-8.2068072E-03,2.090142243126E+01,-3.84112641807E+00
-8.2066240E-03,2.089863651948E+01,-3.86964249085E+00
-8.2064408E-03,2.090029508857E+01,-3.79735114877E+00
-8.2062576E-03,2.092866534883E+01,-3.83510857248E+00
-8.2060744E-03,2.090278990617E+01,-3.85030122600E+00
-8.2058912E-03,2.091694280555E+01,-3.84073910429E+00
-8.2057080E-03,2.088836840404E+01,-3.86174396737E+00
-8.2055248E-03,2.091248597534E+01,-3.85360657130E+00
-8.2053416E-03,2.092169751929E+01,-3.80512172016E+00
-8.2051584E-03,2.089654767005E+01,-3.80563634573E+00
-8.2049752E-03,2.090717690116E+01,-3.85711889141E+00
-8.2047920E-03,2.089890902912E+01,-3.83138365471E+00
-8.2046088E-03,2.090369149627E+01,-3.77729119393E+00
-8.2044256E-03,2.092190413320E+01,-3.82016951810E+00
-8.2042424E-03,2.090579665782E+01,-3.84206626224E+00
-8.2040592E-03,2.092110279066E+01,-3.86135958727E+00
-8.2038760E-03,2.091348622976E+01,-3.83159220112E+00
-8.2036928E-03,2.090908664329E+01,-3.86767554921E+00
-8.2035096E-03,2.089025673041E+01,-3.86820211899E+00
-8.2033264E-03,2.089420378724E+01,-3.84313118304E+00
